"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Lionel Messi","MIA","2024","F","$12,000,000","$20,446,668","2024-09-13"
"","Lorenzo Insigne","TOR","2024","F","$7,500,000","$15,400,000","2024-09-13"
"","Sergio Busquets","MIA","2024","M","$8,499,996","$8,774,996","2024-09-13"
"","Sebastián Driussi","ATX","2024","M","$4,500,000","$6,722,500","2024-09-13"
"","Federico Bernardeschi","TOR","2024","F","$3,125,000","$6,295,381","2024-09-13"
"","Emil Forsberg","NYRB","2024","F","$5,405,000","$6,035,625","2024-09-13"
"","Héctor Herrera","HOU","2024","M","$4,750,000","$5,246,875","2024-09-13"
"","Hany Mukhtar","NSH","2024","M","$3,800,000","$5,211,667","2024-09-13"
"","Christian Benteke","DCU","2024","F","$4,250,000","$4,687,500","2024-09-13"
"","Riqui Puig","LAG","2024","M","$4,000,000","$4,642,188","2024-09-13"
"","Carles Gil","NER","2024","M","$4,000,000","$4,452,083","2024-09-13"
"","Luis Muriel","ORL","2024","F","$2,832,817","$4,336,150","2024-09-13"
"","Luciano Acosta","CIN","2024","M","$2,960,000","$4,216,413","2024-09-13"
"","Joseph Paintsil","LAG","2024","F","$3,136,000","$4,182,000","2024-09-13"
"","Alan Pulido","SKC","2024","F","$3,600,000","$3,866,667","2024-09-13"
"","Aleksey Miranchuk","ATL","2024","M","$2,400,000","$3,685,441","2024-09-13"
"","Olivier Giroud","LAFC","2024","F","$2,800,000","$3,675,000","2024-09-13"
"","Dénis Bouanga","LAFC","2024","F","$2,920,000","$3,609,500","2024-09-13"
"","Teemu Pukki","MIN","2024","F","$3,200,000","$3,550,000","2024-09-13"
"","Hugo Cuypers","CHI","2024","F","$3,238,000","$3,528,044","2024-09-13"
"","Walker Zimmerman","NSH","2024","D","$3,200,000","$3,456,979","2024-09-13"
"","Diego Rossi","CLB","2024","M","$2,675,000","$3,376,827","2024-09-13"
"","Ryan Gauld","VAN","2024","M","$2,880,000","$2,985,000","2024-09-13"
"","Sam Surridge","NSH","2024","F","$2,500,000","$2,907,639","2024-09-13"
"","Cucho Hernández","CLB","2024","F","$2,600,000","$2,886,000","2024-09-13"
"","Stuart Armstrong","VAN","2024","M","$2,499,996","$2,877,774","2024-09-13"
"","Ezequiel Ponce","HOU","2024","F","$2,560,000","$2,822,200","2024-09-13"
"","Raúl Ruidíaz","SEA","2024","F","$2,000,000","$2,729,120","2024-09-13"
"","Jonathan Rodríguez","POR","2024","F","$1,775,000","$2,627,500","2024-09-13"
"","Thiago Martins","NYC","2024","D","$2,000,000","$2,462,000","2024-09-13"
"","Gabriel Pec","LAG","2024","F","$1,680,000","$2,459,000","2024-09-13"
"","Liel Abada","CLT","2024","F","$2,300,000","$2,448,500","2024-09-13"
"","Evander","POR","2024","M","$1,930,000","$2,355,000","2024-09-13"
"","Sebastián Ferreira","HOU","2024","F","$1,920,000","$2,290,200","2024-09-13"
"","Karol Swiderski","CLT","2024","F","$2,200,000","$2,258,000","2024-09-13"
"","Petar Musa","FCD","2024","F","$1,800,000","$2,230,000","2024-09-13"
"","Albert Rusnák","SEA","2024","M","$2,150,000","$2,221,667","2024-09-13"
"","Pep Biel","CLT","2024","M","$1,960,000","$2,214,147","2024-09-13"
"","Nicholas Gioacchini","CIN","2024","F","$2,000,004","$2,206,115","2024-09-13"
"","Jesús Ferreira","FCD","2024","F","$2,000,000","$2,204,000","2024-09-13"
"","Marcel Hartel","STL","2024","M","$1,797,600","$2,183,113","2024-09-13"
"","Mateusz Klich","DCU","2024","M","$1,900,000","$2,093,588","2024-09-13"
"","Cristian Arango","RSL","2024","F","$1,899,996","$2,088,746","2024-09-13"
"","Mikael Uhre","PHI","2024","F","$1,800,000","$2,040,000","2024-09-13"
"","Cristian Espinoza","SJE","2024","F","$1,820,000","$2,002,000","2024-09-13"
"","Kévin Cabral","COL","2024","F","$1,950,000","$1,950,000","2024-09-13"
"","Giacomo Vrioni","NER","2024","F","$1,700,000","$1,947,500","2024-09-13"
"","Lewis O'Brien","LAFC","2024","M","$1,600,000","$1,825,500","2024-09-13"
"","Facundo Torres","ORL","2024","F","$1,560,000","$1,812,400","2024-09-13"
"","Victor Wanyama","MTL","2024","M","$1,440,000","$1,800,000","2024-09-13"
"","Diogo Gonçalves","RSL","2024","M","$1,650,000","$1,797,108","2024-09-13"
"","Dániel Gazdag","PHI","2024","M","$1,600,000","$1,757,500","2024-09-13"
"","Paul Arriola","FCD","2024","F","$1,550,000","$1,729,400","2024-09-13"
"","Jordan Morris","SEA","2024","F","$1,683,750","$1,693,750","2024-09-13"
"","Carlos Gruezo","SJE","2024","M","$1,460,000","$1,681,086","2024-09-13"
"","Djordje Mihailovic","COL","2024","M","$1,350,000","$1,675,000","2024-09-13"
"","Alex Ring","ATX","2024","M","$1,525,000","$1,665,000","2024-09-13"
"","Roman Bürki","STL","2024","GK","$1,525,000","$1,657,469","2024-09-13"
"","Robin Lod","MIN","2024","M","$1,500,000","$1,639,375","2024-09-13"
"","Gastón Giménez","CHI","2024","M","$1,600,000","$1,633,333","2024-09-13"
"","Alan Velasco","FCD","2024","F","$1,250,000","$1,591,667","2024-09-13"
"","Miles Robinson","CIN","2024","D","$1,431,820","$1,578,580","2024-09-13"
"","Kellyn Acosta","CHI","2024","M","$1,392,188","$1,558,869","2024-09-13"
"","Cristian Roldan","SEA","2024","M","$1,420,000","$1,541,000","2024-09-13"
"","Darlington Nagbe","CLB","2024","M","$1,400,000","$1,540,000","2024-09-13"
"","Nemanja Radoja","SKC","2024","M","$1,440,000","$1,530,000","2024-09-13"
"","Matt Miazga","CIN","2024","D","$1,525,000","$1,525,000","2024-09-13"
"","Hannes Wolf","NYC","2024","F","$1,400,000","$1,510,000","2024-09-13"
"","Jordi Alba","MIA","2024","D","$1,250,000","$1,500,000","2024-09-13"
"","Luis Suárez","MIA","2024","F","$1,500,000","$1,500,000","2024-09-13"
"","Dante Vanzeir","NYRB","2024","F","$1,350,000","$1,489,767","2024-09-13"
"","João Paulo","SEA","2024","M","$1,400,000","$1,483,333","2024-09-13"
"","Felipe Mora","POR","2024","F","$1,275,000","$1,472,750","2024-09-13"
"","Rafael Navarro","COL","2024","F","$1,392,000","$1,449,600","2024-09-13"
"","Obinna Nwobodo","CIN","2024","M","$1,310,000","$1,444,400","2024-09-13"
"","Kelvin Yeboah","MIN","2024","F","$1,225,000","$1,427,200","2024-09-13"
