"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","G+A","xG+xA","PA","xPA"
"","Dénis Bouanga","LAFC","2024","W","3074","152","59","20","21.43","-2.96","-1.43","54","9","8.14","0.86","29","29.57","8.37","10.51"
"","Christian Benteke","DCU","2024","ST","2958","94","47","23","19.57","2.79","3.43","31","3","5.06","-2.06","26","24.63","12.89","12.28"
"","Luciano Acosta","CIN","2024","AM","3068","84","28","14","11.51","-1.03","2.49","107","15","12.41","2.59","29","23.91","6.68","6.47"
"","Gabriel Pec","LAG","2024","W","3061","124","59","16","15.37","2.24","0.63","53","12","8.16","3.84","28","23.53","10.22","9.80"
"","Evander","POR","2024","AM","2780","96","41","15","11.40","-0.72","3.60","88","15","11.56","3.44","30","22.95","9.63","7.07"
"","Cristian Arango","RSL","2024","ST","2571","118","47","17","14.93","-2.57","2.07","47","6","6.60","-0.60","23","21.53","6.11","8.92"
"","Cucho Hernández","CLB","2024","ST","2369","135","43","19","14.17","1.92","4.83","50","9","7.02","1.98","28","21.19","7.75","8.46"
"","Hany Mukhtar","NSH","2024","AM","3074","101","33","8","12.15","-1.67","-4.15","81","8","8.49","-0.49","16","20.64","4.53","6.88"
"","Rafael Navarro","COL","2024","ST","3063","89","41","15","17.92","-0.97","-2.92","24","1","2.13","-1.13","16","20.05","8.20","11.65"
"","Djordje Mihailovic","COL","2024","AM","2778","56","28","11","11.65","0.36","-0.65","85","9","8.31","0.69","20","19.96","4.93","6.15"
"","Santiago Rodríguez","NYC","2024","AM","3172","91","32","12","10.54","-1.39","1.46","69","6","8.35","-2.35","18","18.88","5.57","6.67"
"","Lewis Morgan","NYRB","2024","ST","2717","93","34","13","11.65","0.81","1.35","46","5","7.08","-2.08","18","18.74","4.22","6.37"
"","Jordan Morris","SEA","2024","ST","3084","68","33","13","13.19","-1.60","-0.19","41","2","4.65","-2.65","15","17.85","5.34","5.31"
"","Jonathan Rodríguez","POR","2024","W","2723","94","42","16","13.32","1.03","2.67","27","4","4.37","-0.37","20","17.70","8.46","8.44"
